ColumnName,ColumnType
Cytoplasm_Intensity_MeanIntensity_DNA,feature
Cytoplasm_Intensity_MeanIntensity_HNF4a,feature
Cytoplasm_Intensity_MeanIntensity_MT,feature
Cytoplasm_Intensity_MeanIntensity_lipid,feature
Cytoplasm_Intensity_MedianIntensity_Cellmask,feature
Cytoplasm_Intensity_MedianIntensity_DNA,feature
Cytoplasm_Intensity_MedianIntensity_HNF4a,feature
Cytoplasm_Intensity_MedianIntensity_MT,feature
Cytoplasm_Intensity_MedianIntensity_lipid,feature
Cytoplasm_Intensity_MinIntensityEdge_Cellmask,feature
Cytoplasm_Intensity_MinIntensityEdge_DNA,feature
Cytoplasm_Intensity_MinIntensityEdge_HNF4a,feature
Cytoplasm_Intensity_MinIntensityEdge_MT,feature
Cytoplasm_Intensity_MinIntensityEdge_lipid,feature
Cytoplasm_Intensity_MinIntensity_Cellmask,feature
Cytoplasm_Intensity_MinIntensity_DNA,feature
Cytoplasm_Intensity_MinIntensity_HNF4a,feature
Cytoplasm_Intensity_MinIntensity_MT,feature
Cytoplasm_Intensity_MinIntensity_lipid,feature
Cytoplasm_Intensity_StdIntensityEdge_Cellmask,feature
Cytoplasm_Intensity_StdIntensityEdge_DNA,feature
Cytoplasm_Intensity_StdIntensityEdge_HNF4a,feature
Cytoplasm_Intensity_StdIntensityEdge_MT,feature
Cytoplasm_Intensity_StdIntensityEdge_lipid,feature
Cytoplasm_Intensity_StdIntensity_Cellmask,feature
Cytoplasm_Intensity_StdIntensity_DNA,feature
Cytoplasm_Intensity_StdIntensity_HNF4a,feature
Cytoplasm_Intensity_StdIntensity_MT,feature
Cytoplasm_Intensity_StdIntensity_lipid,feature
Cytoplasm_Intensity_UpperQuartileIntensity_Cellmask,feature
Cytoplasm_Intensity_UpperQuartileIntensity_DNA,feature
Cytoplasm_Intensity_UpperQuartileIntensity_HNF4a,feature
